Day,Animal number,Plants number,Free positions number,Genotype ranking,Average energy level,Average dead lifespan,Average children number
150,57,23,176,[(genotype: 2502, frequency: 7), (genotype: 2312, frequency: 6), (genotype: 2052, frequency: 5)],36,508772,45,500000,2,438596
151,55,23,173,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2052, frequency: 5)],37,927273,45,988372,2,490909
152,56,22,173,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2052, frequency: 5)],37,607143,45,988372,2,482143
153,57,24,178,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2052, frequency: 5)],36,508772,47,218391,2,403509
154,58,23,175,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2052, frequency: 5)],36,189655,47,218391,2,396552
155,58,24,178,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2052, frequency: 6)],36,000000,47,292135,2,448276
156,61,25,177,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2052, frequency: 6)],34,016393,47,292135,2,426230
157,63,23,176,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2052, frequency: 6)],33,396825,47,292135,2,412698
158,64,19,172,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2052, frequency: 6)],33,765625,47,292135,2,406250
159,65,20,175,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2052, frequency: 6)],32,984615,48,197802,2,323077
160,64,21,175,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2052, frequency: 6)],33,203125,47,967391,2,359375
161,64,23,170,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2052, frequency: 6)],32,687500,47,946237,2,359375
162,64,24,172,[(genotype: 2312, frequency: 7), (genotype: 2052, frequency: 6), (genotype: 2502, frequency: 5)],31,406250,49,926316,2,265625
163,61,23,177,[(genotype: 2312, frequency: 7), (genotype: 2052, frequency: 6), (genotype: 6263, frequency: 4)],32,606557,50,755102,2,213115
164,62,21,172,[(genotype: 2312, frequency: 7), (genotype: 2052, frequency: 6), (genotype: 6263, frequency: 5)],32,322581,50,313131,2,241935
165,62,18,168,[(genotype: 2312, frequency: 7), (genotype: 2052, frequency: 6), (genotype: 6263, frequency: 5)],33,016129,50,313131,2,241935
166,62,20,168,[(genotype: 2312, frequency: 7), (genotype: 2052, frequency: 6), (genotype: 6263, frequency: 5)],32,500000,50,313131,2,241935
167,62,18,172,[(genotype: 2312, frequency: 7), (genotype: 2052, frequency: 6), (genotype: 6263, frequency: 5)],32,951613,50,313131,2,241935
168,64,14,173,[(genotype: 2312, frequency: 7), (genotype: 2052, frequency: 6), (genotype: 6263, frequency: 5)],32,593750,50,313131,2,234375
169,64,16,169,[(genotype: 2312, frequency: 7), (genotype: 2052, frequency: 6), (genotype: 6263, frequency: 5)],32,062500,50,313131,2,234375
170,63,16,172,[(genotype: 2312, frequency: 7), (genotype: 2052, frequency: 6), (genotype: 6263, frequency: 5)],32,523810,50,380000,2,269841
171,62,17,170,[(genotype: 2312, frequency: 7), (genotype: 2052, frequency: 6), (genotype: 6263, frequency: 5)],32,774194,50,613861,2,290323
172,62,20,173,[(genotype: 2312, frequency: 7), (genotype: 2052, frequency: 6), (genotype: 6263, frequency: 5)],32,032258,50,549020,2,306452
173,62,20,170,[(genotype: 2312, frequency: 7), (genotype: 6263, frequency: 5), (genotype: 2052, frequency: 5)],32,016129,50,485437,2,322581
174,62,20,174,[(genotype: 2312, frequency: 7), (genotype: 6263, frequency: 5), (genotype: 2052, frequency: 5)],31,983871,50,485437,2,322581
175,63,21,174,[(genotype: 2312, frequency: 7), (genotype: 6263, frequency: 5), (genotype: 2052, frequency: 5)],31,206349,50,485437,2,317460
176,63,22,172,[(genotype: 2312, frequency: 7), (genotype: 6263, frequency: 5), (genotype: 2052, frequency: 5)],30,920635,50,485437,2,317460
177,63,20,172,[(genotype: 2312, frequency: 7), (genotype: 6263, frequency: 5), (genotype: 2052, frequency: 5)],31,349206,50,485437,2,317460
178,63,20,170,[(genotype: 2312, frequency: 7), (genotype: 6263, frequency: 5), (genotype: 2052, frequency: 5)],31,301587,50,485437,2,317460
