Day,Animal number,Plants number,Free positions number,Genotype ranking,Average energy level,Average dead lifespan,Average children number
107,124,16,31,[(genotype: 4211672626221707711336546, frequency: 4), (genotype: 6310533563123373014226105, frequency: 3), (genotype: 2265515760444054535522136, frequency: 3)],17,443548,17,175060,4,088710
108,119,15,38,[(genotype: 6310533563123373014226105, frequency: 3), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 2265515760444054535522136, frequency: 3)],18,126050,17,152941,4,277311
109,115,18,38,[(genotype: 6310533563123373014226105, frequency: 3), (genotype: 2265515760444054535522136, frequency: 3), (genotype: 8533888888808888085522136, frequency: 2)],18,400000,17,200924,4,408696
110,112,16,37,[(genotype: 2265515760444054535522136, frequency: 4), (genotype: 6310533563123373014226105, frequency: 3), (genotype: 8533888888808888085522136, frequency: 2)],19,000000,17,340909,4,303571
111,108,17,38,[(genotype: 2265515760444054535522136, frequency: 4), (genotype: 6532372626221707711336546, frequency: 3), (genotype: 6310533563123373014226105, frequency: 3)],19,592593,17,300000,4,490741
112,104,17,39,[(genotype: 2265515760444054535522136, frequency: 4), (genotype: 6532372626221707711336546, frequency: 3), (genotype: 6310533563123373014226105, frequency: 3)],20,336538,17,247265,4,701923
113,104,15,37,[(genotype: 2265515760444054535522136, frequency: 4), (genotype: 6532372626221707711336546, frequency: 3), (genotype: 6310533563123373014226105, frequency: 3)],20,519231,17,271739,4,682692
114,98,14,36,[(genotype: 2265515760444054535522136, frequency: 4), (genotype: 6532372626221707711336546, frequency: 3), (genotype: 6310533563123373014226105, frequency: 3)],21,928571,17,268657,4,959184
115,95,15,36,[(genotype: 2265515760444054535522136, frequency: 4), (genotype: 6532372626221707711336546, frequency: 3), (genotype: 6310533563123373014226105, frequency: 3)],22,631579,17,474895,4,831579
116,98,16,37,[(genotype: 2265515760444054535522136, frequency: 4), (genotype: 6532372626221707711336546, frequency: 3), (genotype: 6310533563123373014226105, frequency: 3)],21,918367,17,465696,4,775510
117,101,16,38,[(genotype: 2265515760444054535522136, frequency: 4), (genotype: 6532372626221707711336546, frequency: 3), (genotype: 6310533563123373014226105, frequency: 3)],21,306931,17,449275,4,722772
118,101,16,43,[(genotype: 2265515760444054535522136, frequency: 5), (genotype: 6532372626221707711336546, frequency: 3), (genotype: 8533888888808888085522136, frequency: 2)],21,366337,17,561224,4,702970
119,102,16,43,[(genotype: 2265515760444054535522136, frequency: 5), (genotype: 6532372626221707711336546, frequency: 3), (genotype: 6310533563123373014226105, frequency: 2)],21,186275,17,558704,4,705882
120,106,17,34,[(genotype: 2265515760444054535522136, frequency: 5), (genotype: 6532372626221707711336546, frequency: 3), (genotype: 6310533563123373014226105, frequency: 2)],20,301887,17,599598,4,603774
121,112,15,40,[(genotype: 2265515760444054535522136, frequency: 5), (genotype: 6532372626221707711336546, frequency: 3), (genotype: 6310533563123373014226105, frequency: 2)],19,366071,17,780000,4,267857
122,108,15,31,[(genotype: 2265515760444054535522136, frequency: 5), (genotype: 6532372626221707711336546, frequency: 2), (genotype: 6310533563123373014226105, frequency: 2)],20,037037,17,804734,4,351852
123,114,15,40,[(genotype: 2265515760444054535522136, frequency: 5), (genotype: 2074646776031227520635741, frequency: 3), (genotype: 6532372626221707711336546, frequency: 2)],18,938596,17,803922,4,263158
124,115,13,29,[(genotype: 2265515760444054535522136, frequency: 5), (genotype: 2074646776031227520635741, frequency: 3), (genotype: 6532372626221707711336546, frequency: 2)],18,860870,17,809339,4,260870
125,119,16,35,[(genotype: 2265515760444054535522136, frequency: 5), (genotype: 2074646776031227520635741, frequency: 3), (genotype: 6532372626221707711336546, frequency: 2)],17,857143,17,834951,4,201681
126,119,14,36,[(genotype: 2265515760444054535522136, frequency: 5), (genotype: 2074646776031227520635741, frequency: 3), (genotype: 6532372626221707711336546, frequency: 2)],17,915966,17,804223,4,243697
127,119,17,33,[(genotype: 2265515760444054535522136, frequency: 5), (genotype: 2074646776031227520635741, frequency: 3), (genotype: 6532372626221707711336546, frequency: 2)],17,546218,17,834601,4,210084
128,119,14,32,[(genotype: 2265515760444054535522136, frequency: 5), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 2074646776031227520635741, frequency: 3)],17,672269,17,830189,4,252101
129,118,16,36,[(genotype: 2265515760444054535522136, frequency: 4), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 2074646776031227520635741, frequency: 3)],17,542373,17,893657,4,262712
130,118,19,37,[(genotype: 2265515760444054535522136, frequency: 4), (genotype: 4232376060444054535522136, frequency: 3), (genotype: 4211672626221707711336546, frequency: 3)],17,177966,17,848429,4,330508
131,116,15,32,[(genotype: 2265515760444054535522136, frequency: 4), (genotype: 4232376060444054535522136, frequency: 3), (genotype: 4211672626221707711336546, frequency: 3)],17,706897,17,794872,4,448276
132,115,19,33,[(genotype: 2265515760444054535522136, frequency: 5), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 2074646776031227520635741, frequency: 3)],17,434783,17,763110,4,556522
133,115,15,34,[(genotype: 2265515760444054535522136, frequency: 6), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 2074646776031227520635741, frequency: 3)],17,695652,17,863799,4,521739
134,116,12,36,[(genotype: 2265515760444054535522136, frequency: 6), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 6532372626221707711336546, frequency: 2)],17,732759,17,787611,4,612069
135,115,14,38,[(genotype: 2265515760444054535522136, frequency: 8), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 6265516776031236456102153, frequency: 2)],17,643478,17,762653,4,704348
136,115,12,33,[(genotype: 2265515760444054535522136, frequency: 8), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 6532376003037214507442367, frequency: 2)],17,739130,17,744387,4,756522
137,117,14,31,[(genotype: 2265515760444054535522136, frequency: 9), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 6532376003037214507442367, frequency: 2)],17,170940,17,758148,4,717949
138,115,17,39,[(genotype: 2265515760444054535522136, frequency: 9), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 6532376003037214507442367, frequency: 2)],17,121739,17,762712,4,834783
139,120,18,39,[(genotype: 2265515760444054535522136, frequency: 10), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 6532376003037214507442367, frequency: 2)],16,216667,17,739865,4,750000
140,121,19,36,[(genotype: 2265515760444054535522136, frequency: 10), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 6532376003037214507442367, frequency: 2)],15,859504,17,705882,4,776860
141,119,15,33,[(genotype: 2265515760444054535522136, frequency: 10), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 6532376003037214507442367, frequency: 2)],16,327731,17,741667,4,831933
142,117,15,31,[(genotype: 2265515760444054535522136, frequency: 9), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 6532376003037214507442367, frequency: 2)],16,495726,17,716172,4,940171
143,119,15,36,[(genotype: 2265515760444054535522136, frequency: 8), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 6532376003037214507442367, frequency: 2)],16,109244,17,713115,4,899160
144,119,14,33,[(genotype: 2265515760444054535522136, frequency: 9), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 6532376003037214507442367, frequency: 2)],16,109244,17,704362,4,941176
145,118,14,31,[(genotype: 2265515760444054535522136, frequency: 9), (genotype: 4211672626244054054026765, frequency: 3), (genotype: 4211672626221707711336546, frequency: 3)],16,161017,17,767516,4,949153
146,115,14,36,[(genotype: 2265515760444054535522136, frequency: 8), (genotype: 4211672626244054054026765, frequency: 3), (genotype: 4211672626221707711336546, frequency: 3)],16,478261,17,774448,5,104348
